NumQubits;SizeOfDMat;SizeOfSMat;SizeOfFMat;AccessTimeDMat;AccessTimeSMat;AccessTimeFMat
13;1073741936;2684354672;8;10938329344;579153388288;142557712640
13;1073741936;2684354672;8;11282115584;580966025472;142338946816
13;1073741936;2684354672;8;10750825472;568168177920;148714410752
13;1073741936;2684354672;8;10703948032;575074952192;144245321984
13;1073741936;2684354672;8;10953954816;572715406848;143620277504
13;1073741936;2684354672;8;12844733440;583528711936;142198309888
13;1073741936;2684354672;8;13297887488;595873616128;143979695872
13;1073741936;2684354672;8;11250864640;584669422592;144761008384
13;1073741936;2684354672;8;11141472768;608218104320;144729740032
13;1073741936;2684354672;8;11172732672;611140193280;143854690560
