NumQubits;SizeOfDMat;SizeOfSMat;SizeOfFMat;AccessTimeDMat;AccessTimeSMat;AccessTimeFMat
13;1073741936;2684354672;8;10813321984;582403634432;142713971200
13;1073741936;2684354672;8;10828956672;572621632256;144651618048
13;1073741936;2684354672;8;11892151552;589497300736;142995241216
13;1073741936;2684354672;8;11688387840;565933641728;144886353664
13;1073741936;2684354672;8;11750883584;571090276608;143714051328
13;1073741936;2684354672;8;12626737664;592481747456;142510822144
13;1073741936;2684354672;8;10703930112;572981043968;144401600512
13;1073741936;2684354672;8;11672746752;593513854976;142120184320
13;1073741936;2684354672;8;11954481408;566620745728;145323543808
13;1073741936;2684354672;8;11438368768;570683995648;143167754496
13;1073741936;2684354672;8;11141470208;577715778048;142557713664
13;1073741936;2684354672;8;10766443008;581887970304;144120731136
13;1073741936;2684354672;8;11579004416;576637571840;141463878656
13;1073741936;2684354672;8;11032097792;573949866752;142963989760
13;1073741936;2684354672;8;11282117120;583497467136;141713894400
13;1073741936;2684354672;8;11360238080;574512410112;142292074752
13;1073741936;2684354672;8;10703947776;582622401280;142886243328
13;1073741936;2684354672;8;11657143296;576168786944;141401710592
13;1073741936;2684354672;8;11454003456;576746945024;141870158592
13;1073741936;2684354672;8;11454003456;583684983040;141354501632
13;1073741936;2684354672;8;11188360704;568808841216;142573636864
13;1073741936;2684354672;8;11360246272;576184402432;142292512256
13;1073741936;2684354672;8;11110226944;572215352064;142182680320
13;1073741936;2684354672;8;10907573760;572402388480;144339702784
13;1073741936;2684354672;8;10797694720;576012524544;142307692032
13;1073741936;2684354672;8;11360623616;568855354112;142651467008
13;1073741936;2684354672;8;11438369024;574246765056;143167129856
13;1073741936;2684354672;8;11157106688;572168472320;142307690752
13;1073741936;2684354672;8;11000844288;572324743680;145714207232
13;1073741936;2684354672;8;10719564288;571809078016;141901808896
13;1073741936;2684354672;8;11938407680;576825271552;142073296128
13;1073741936;2684354672;8;10735202816;572043460096;143745299456
13;1073741936;2684354672;8;11203984384;571184033280;143104625920
13;1073741936;2684354672;8;11360248576;569715160064;141526381312
13;1073741936;2684354672;8;10782067968;574762438144;140604451072
13;1073741936;2684354672;8;11860276224;576512748544;141823277824
13;1073741936;2684354672;8;10798078464;572136846080;143276514048
13;1073741936;2684354672;8;11219602432;570918395136;143135876864
13;1073741936;2684354672;8;11782543616;570386698496;141151664640
13;1073741936;2684354672;8;10828947712;577059477504;142058086656
13;1073741936;2684354672;8;11433953280;578351246592;147291933440
13;1073741936;2684354672;8;12992884224;588508218624;146677578496
13;1073741936;2684354672;8;11186812416;599012989184;148041021696
13;1073741936;2684354672;8;10716174848;577001861632;148991914752
13;1073741936;2684354672;8;10766377984;596117197824;147313490176
13;1073741936;2684354672;8;11242468096;577098389760;146785145856
13;1073741936;2684354672;8;11283633664;585131655424;145831977216
13;1073741936;2684354672;8;12262056192;590098479616;147776847360
13;1073741936;2684354672;8;10889096448;577154329088;147936920832
13;1073741936;2684354672;8;10795421440;592895104256;145088969984
13;1073741936;2684354672;8;10962227968;597557428480;142584737536
13;1073741936;2684354672;8;11881613312;580615193088;143875284736
13;1073741936;2684354672;8;11454748416;621189128192;146722989312
13;1073741936;2684354672;8;10897147136;592072593664;158757662720
13;1073741936;2684354672;8;10927924992;583669960960;143256422144
13;1073741936;2684354672;8;11075981312;597459478272;143212463360
13;1073741936;2684354672;8;11321576704;588278101760;144688864768
13;1073741936;2684354672;8;11193162496;622687656704;147362374400
13;1073741936;2684354672;8;11254280448;592044401920;159353931264
13;1073741936;2684354672;8;10927924992;583669960960;143445371904
13;1073741936;2684354672;8;12696706048;578286579712;143950845184
13;1073741936;2684354672;8;11002531072;578894988032;141858629888
13;1073741936;2684354672;8;11373423872;576111699456;144911677952
13;1073741936;2684354672;8;12260718336;599408876032;142520405504
13;1073741936;2684354672;8;11538310912;581911931904;143777508608
13;1073741936;2684354672;8;12697726976;576542034432;145105473792
13;1073741936;2684354672;8;11631901952;581676811008;142585188608
13;1073741936;2684354672;8;11514248448;573484819712;145477345536
13;1073741936;2684354672;8;12127585280;601538881536;143294856448
13;1073741936;2684354672;8;11474391296;579323282688;144519683072
