NumQubits;SizeOfDMat;SizeOfSMat;SizeOfFMat;AccessTimeDMat;AccessTimeSMat;AccessTimeFMat
3;1136;2288;8;0;0;0
4;4208;9328;8;0;0;0
5;16496;36976;8;0;0;0
6;65648;147568;8;0;31252224;15626240
7;262256;589936;8;0;109443072;31252480
8;1048688;2621552;8;0;484509952;140578304
9;4194416;10485872;8;47072000;1890846720;546791424
10;16777328;41943152;8;156247808;7672092416;2172029184
3;1136;2288;8;0;0;0
4;4208;9328;8;0;0;0
5;16496;36976;8;0;15622912;15672064
6;65648;147568;8;0;31058944;0
7;262256;589936;8;0;124854528;31441408
8;1048688;2621552;8;15651328;484583168;125158144
9;4194416;10485872;8;47043328;1875296000;546723328
10;16777328;41943152;8;155944448;7750538752;2171898624
3;1136;2288;8;0;0;0
4;4208;9328;8;0;15614720;0
5;16496;36976;8;0;15635712;0
6;65648;147568;8;0;31451136;0
7;262256;589936;8;0;125199872;31249408
8;1048688;2621552;8;15623424;484593664;140627968
9;4194416;10485872;8;47253248;1906192128;531096832
10;16777328;41943152;8;156261632;7844747520;2171851008
3;1136;2288;8;0;0;0
4;4208;9328;8;0;0;0
5;16496;36976;8;0;0;0
6;65648;147568;8;0;31252480;15626240
7;262256;589936;8;0;125010688;31253760
8;1048688;2621552;8;15619840;468859904;125385728
9;4194416;10485872;8;30866176;1906758912;546472960
10;16777328;41943152;8;140613120;7703719680;2187304192
3;1136;2288;8;0;0;0
4;4208;9328;8;0;0;0
5;16496;36976;8;0;15625984;0
6;65648;147568;8;0;15621632;15626240
7;262256;589936;8;15752704;109249280;47246080
8;1048688;2621552;8;15835392;468645376;140768512
9;4194416;10485872;8;46559744;1890948096;546671616
10;16777328;41943152;8;156637184;7766023424;2187489024
3;1136;2288;8;0;0;0
4;4208;9328;8;0;0;0
5;16496;36976;8;0;0;0
6;65648;147568;8;0;31256320;15624192
7;262256;589936;8;0;109363968;31354624
8;1048688;2621552;8;15678464;484176640;140531712
9;4194416;10485872;8;47064320;1890762496;546727168
10;16777328;41943152;8;156259072;7735346176;2187505664
3;1136;2288;8;0;0;0
4;4208;9328;8;0;0;0
5;16496;36976;8;0;15439872;0
