num_qubits;DJ_times;DJ_sizes;BV_times;BV_sizes;grover_times;grover_sizes
2;0.004000186920166016;234;0.0040018558502197266;234;0.0060002803802490234;234
3;0.0069980621337890625;362;0.006001472473144531;362;0.00899815559387207;362
4;0.0070018768310546875;618;0.008997917175292969;618;0.012001991271972656;618
5;0.009998083114624023;1130;0.01100015640258789;1130;0.01300191879272461;1130
6;0.010998010635375977;2154;0.012000083923339844;2154;0.01600170135498047;2154
7;0.012997865676879883;4202;0.014002323150634766;4202;0.01499795913696289;4202
8;0.014999866485595703;8298;0.017000198364257812;8298;0.018002033233642578;8298
9;0.018999814987182617;16490;0.021998167037963867;16490;0.020000219345092773;16490
10;0.024999618530273438;32874;0.02700018882751465;32874;0.026000022888183594;32874
2;0.00400233268737793;234;0.0029997825622558594;234;0.006000041961669922;234
3;0.005000114440917969;362;0.006000518798828125;362;0.009999752044677734;362
4;0.007997989654541016;618;0.006999969482421875;618;0.012999773025512695;618
5;0.009999990463256836;1130;0.010000467300415039;1130;0.013000249862670898;1130
6;0.011001348495483398;2154;0.01199793815612793;2154;0.01600050926208496;2154
7;0.012999296188354492;4202;0.015000343322753906;4202;0.015000104904174805;4202
8;0.01600193977355957;8298;0.015998125076293945;8298;0.017999887466430664;8298
9;0.01900005340576172;16490;0.023002147674560547;16490;0.018998146057128906;16490
10;0.024000167846679688;32874;0.029999732971191406;32874;0.026000261306762695;32874
2;0.0040013790130615234;234;0.00299835205078125;234;0.006001949310302734;234
3;0.005998134613037109;362;0.006000041961669922;362;0.009001970291137695;362
4;0.00800013542175293;618;0.007997751235961914;618;0.013002395629882812;618
5;0.009999275207519531;1130;0.01000070571899414;1130;0.01399850845336914;1130
6;0.012000322341918945;2154;0.014000892639160156;2154;0.0169985294342041;2154
7;0.014001846313476562;4202;0.01499795913696289;4202;0.014001846313476562;4202
8;0.015997648239135742;8298;0.01700282096862793;8298;0.017998933792114258;8298
9;0.01900005340576172;16490;0.01900029182434082;16490;0.018998384475708008;16490
10;0.023999929428100586;32874;0.02700185775756836;32874;0.02699875831604004;32874
2;0.003998994827270508;234;0.003000020980834961;234;0.006000041961669922;234
3;0.006000995635986328;362;0.00599980354309082;362;0.008999109268188477;362
4;0.007002830505371094;618;0.00799703598022461;618;0.012002229690551758;618
5;0.009000301361083984;1130;0.010001659393310547;1130;0.011997699737548828;1130
6;0.011999845504760742;2154;0.012000083923339844;2154;0.01600027084350586;2154
7;0.014002084732055664;4202;0.013999700546264648;4202;0.014999628067016602;4202
8;0.014998435974121094;8298;0.018000125885009766;8298;0.01699995994567871;8298
9;0.019002199172973633;16490;0.021000385284423828;16490;0.019997835159301758;16490
10;0.02900075912475586;32874;0.028999805450439453;32874;0.027999401092529297;32874
2;0.0039997100830078125;234;0.0030002593994140625;234;0.005999565124511719;234
3;0.006000518798828125;362;0.004999637603759766;362;0.008999824523925781;362
4;0.00800013542175293;618;0.007999897003173828;618;0.012000083923339844;618
