NumQubits;SizeOfDMat;SizeOfSMat;SizeOfFMat;CreationTimeDMat;CreationTimeSMat;CreationTimeFMat;AccessTimeDMat;AccessTimeSMat;AccessTimeFMat
11;67108976;2621552;136;138134016;48043776;0;630572288;29763024128;15976506368
12;268435568;589936;104;403366144;9008384;0;2434210048;119562560768;56221046272
11;67108976;2621552;136;132119808;49044480;0;617560832;29757018624;16005523968
12;268435568;589936;104;367341824;9008128;0;2529296384;119384397824;56166998272
11;67108976;2621552;136;129117952;48043264;0;618561792;29802059264;15906442752
12;268435568;589936;104;367333376;9008128;0;2505274880;119547545856;56536325120
11;67108976;2621552;136;146132736;49044480;0;613565696;29850102784;15966497280
12;268435568;589936;104;371337216;8007168;0;2425201664;119198228992;56073913600
11;67108976;2621552;136;131127808;47042816;0;614557952;29782041088;15987516160
12;268435568;589936;104;365331968;9008128;0;2420197376;119573569792;56261083392
11;67108976;2621552;136;138125568;48043520;0;612556032;29800057856;15999527168
12;268435568;589936;104;369326848;8007168;0;2437212672;119602596096;56135970048
11;67108976;2621552;136;140135168;48043264;0;607552000;29840093952;15973503488
12;268435568;589936;104;368334592;9007616;0;2426202368;119462468864;56257080064
11;67108976;2621552;136;144130816;49044736;0;610554112;29933178624;15960491776
12;268435568;589936;104;374340096;9008640;0;2436211968;119787755776;56756533760
11;67108976;2621552;136;139126528;50045184;0;628570880;32721718528;16003530752
12;268435568;589936;104;365331712;9008384;0;2444228096;119857827584;56230055424
11;67108976;2621552;136;132127744;49044480;0;625568000;29863115008;16077597952
12;268435568;589936;104;372337920;9008384;0;2436211712;119676663552;56456260608
11;67108976;2621552;136;139134464;49044480;0;612556288;29823078656;16037561600
12;268435568;589936;104;368334336;9008128;0;2525292800;119813787904;56505306368
11;67108976;2621552;136;137133056;47042816;0;614557696;30132359424;16125641728
12;268435568;589936;104;371337216;8007168;1000960;2439214848;119626617856;56492293376
11;67108976;2621552;136;137124608;48043520;0;614558464;29974215424;15966497280
12;268435568;589936;104;367324672;9016832;0;2438213632;119838810368;56369181696
11;67108976;2621552;136;134130432;48044032;0;617560320;29855107840;15986515200
12;268435568;589936;104;371337216;9008128;0;2500270080;119344361728;56343158016
